id,text,sentiment
0,The employees of the bank are extremely skilled and cooperative.I am fascinated by their professionalism.,positive
1,I would like to know about the new product of the company.Where can it be found?,neutral
2,The service of the company is to waste people's money.I want to stay away from them.,negative
3,The bank system is often down.Cannot access the account at an emergency.,negative
4,The bank's notification system does not work.I don't get any updates on my transaction.,negative
5,Can the company's product be ordered online?What is the delivery charge?,neutral
6,Is the company offer just for new customers?Old customers have no benefits?,neutral
7,The bank's documentation process is extremely complicated.It takes a lot of papers to open a general account.,negative
8,The CD facility of the bank helped me make extra income.This is an excellent investment opportunity.,positive
9,I am very pleased with the company's service.Their fast service and support fascinated me.,positive
10,The branch of the bank is very clear and comfortable.The staff always serves smiling.,positive
11,The company has made my life easier.Nowadays I can do everything at home.Very comfortable,positive
12,How is the bank's locker facility?What is the cost?,neutral
13,How do I do the company's warranty registration?Is it possible online?,neutral
14,What is the recruitment process of the company?I would like to apply.,neutral
15,"The loan facility of the bank is extremely useful, low interest and in simple terms, loans are available.I took home loans and very satisfied.",positive
16,What is the process of opening the bank's Dimat account?What documents do you need?,neutral
17,The new fee of the bank is very high.It is creating additional pressure on customers.,negative
18,The bank's mutual fund service helped to protect my future.Get a good return.,positive
19,The bank's credit card reward system is remarkable.I get regular cashback which is really beneficial.,positive
20,What is the bank's agent banking?Want to know how it works.,neutral
21,Bank employees do not have enough knowledge about the new rules.Many times give the wrong information.,negative
22,"Timely news of the bank sending the news system is very good, I always get my account updates.",positive
23,How to use the bank's online portal?I opened a new account.,neutral
24,The company's prices are high.The same product is available at a much lower price than other companies.,negative
25,What is the interest rate on bank loan?I'd like to take home loan.,neutral
26,The company's online security system is extremely powerful.I feel completely safe to do transactions here.,positive
27,The company's security system is weak.My account was hacked last month.,negative
28,The value of the company's product has been much worse than ever.I'll stop buying their products.,negative
29,My faith in the company is increasing day by day.They are very careful about the protection of our information.,positive
30,Where are the company's service centers?Which is near my area?,neutral
31,The company's complaint disposal process is very fast and effective.My problems have they solved in one day.,positive
32,"Payment TK 300.00 to Grameenphone Ltd-mycompany_Y Direct Charge-RM50518 is successful.What is the reason for such a massage because of the reason?I don't use any Grameen SIM.When you knock on the Company_X, they say it's a service.However, I know I did not add the service.",negative
33,I would like to know the details of the FD scheme in the bank.How much time can FD be done?,neutral
34,Bank agents always carefully listen to my problem and give solutions.The service is very good.,positive
35,Where is the company's product sell?What is in my area?,neutral
36,The company's customer service department has solved my problem very soon.Thanks for their skill.,positive
37,There is a consistent problem in the company's system.Every day some bugs can be seen.,negative
38,The next service of the company is extremely low.I haven't found a solution so far.,negative
39,The interest rate of the bank is much lower than other banks.I'm thinking of transferring my savings.,negative
40,The bank loan process is extremely complex and time -consuming.I have been waiting for the past two months.,negative
41,The bank's mobile banking app is straightforward and easy to use.I can do a lot of work at once.,positive
42,When is the bank branch open?I want to go tomorrow.,neutral
43,The company's app repeatedly crashed.I have trouble doing important transactions.,negative
44,"The company's Loyalty Program is very good, I regularly save points and get gifts.",positive
45,The branch branch of the bank is helpless.I did not get the service even after waiting for two hours.,negative
46,What is the bank's loan process?I would like to know what the document will need.,neutral
47,Where is the company's headquarters located?I would like to submit an application.,neutral
48,The quality of the company's product is extremely high.I have been using their products for years.,positive
49,Company products are much better quality than other competitors.I always bought their products.,positive
50,How do I apply for a credit card in the bank?What can be done online?,neutral
